Sobriety Must Come First BB|Location is: Mother's House|4|18:30:00|19:30:00| 904 N St Louis Ave, , IL t, IL IL|41.897561|-87.71428600000002
HOW Group|Location is: HOW Group|3|14:00:00|15:00:00|Church of Christ, Groveland, IL 61610|40.6405936|-89.60676619999998
HOW Group|Location is: HOW Group|5|14:00:00|15:00:00|Church of Christ, Groveland, IL 61610|40.6405936|-89.60676619999998
STRAIGHT SEEKERS GROUP|Location is: STRAIGHT SEEKERS GROUP|6|19:00:00|20:00:00|106 BOLIVIA STREET, BARTONVILLE, IL 61607|40.648067|-89.65101199999998
BACK TO BASICS|Location is: FIRST CHRISTIAN CHURCH|2|18:00:00|19:00:00|113 E CRAQFORD STREET, PALESTINE, IL 61771|39.5992246|-87.6946825
BACK TO BASICS|Location is: FIRST CHRISTIAN CHURCH|6|18:00:00|19:00:00|113 E CRAQFORD STREET, PALESTINE, IL 61771|39.5992246|-87.6946825
Celebrate Freedom|Location is: The River Church-Mall of America|2|19:30:00|20:30:00|121 West Market, Bloomington, IL 61701|40.4823648|-88.994552
Wednesday Night Group|Location is: Cedar Lakes Fellowship Hall|4|20:00:00|21:00:00|401 E. Empire St., bloomington, IL 61701|40.4881374|-88.9899393
TUES 12 & 12|Location is: Charles Wesley Methodist Ch|3|10:00:00|11:00:00|6817 Dean Dr. Off Westmoreland, Mclean, IL |40.3144833|-89.16980899999999
MCLEAN THURSDAY MORNING|Location is: Lewinsville Presbyterian Ch|5|10:00:00|11:00:00|1724 Chainbridge @ Gt Falls, Mclean, IL |40.3144833|-89.16980899999999
FIRESIDE|Location is: Lewinsville Presbyterian Church|1|19:00:00|20:00:00|1724 Chainbridge Rd @ Gt Falls, Mclean, IL |40.3144833|-89.16980899999999
LEWINSVILLE PROMISES|Location is: Lewinsville Presbyterian Church|2|19:00:00|20:00:00|1724 Chain Bridge Rd@ Gt Falls, Mclean, IL |40.3144833|-89.16980899999999
EXPERIENCE^ STRENGTH & HOPE|Location is: Charles Wesley Methodist Ch|5|18:45:00|19:45:00|6817 Dean Dr. Off Westmoreland, Mclean, IL |40.3144833|-89.16980899999999
DR. BOB?S #2|Location is: Lewinsville Pres Church|6|19:30:00|20:30:00|1724 Chainbridge Rd, Mclean, IL |40.3144833|-89.16980899999999
Believing|Location is: St. Gregory|7|19:30:00|20:30:00|620 Nottingham Way, Princeton, IL 61356|41.3254306|-89.4181754
garage group of cocaine anonymous|Location is: 713 e 8th street at my garage |5|19:00:00|20:00:00|same as above , Kewanee, IL 61443|41.2455927|-89.9248303
GARAGE GROUP |Location is: @ MY HOUSE |5|19:00:00|20:00:00|713 E 8TH ST , kewanee, IL 61443|41.25151|-89.91573089999997
Women's Serenity|Location is: Crawford House|2|19:00:00|20:00:00|362 Sunset Rd., Princeton, IL 61356|41.3631985|-89.46998710000003
Thursday As Bill Sees It|Location is: St. David Epis. Church|5|12:00:00|13:00:00|90 S. Main St., Princeton, IL 61356|41.3745293|-89.4650638
Stockton Friday Night|Location is: 1st Presbyterian Church|6|20:30:00|21:30:00|22 S. Main St., Princeton, IL 61356|41.3751493|-89.46507250000002
Living Sober|Location is: 1st Presbyterian Church|6|19:30:00|20:30:00|22 S. Main St., Princeton, IL 61356|41.3751493|-89.46507250000002
Stockton Step|Location is: 1st Presbyterian Church|2|20:00:00|21:00:00|22 S. Main St., Princeton, IL 61356|41.3751493|-89.46507250000002
Princeton Thursday Nite Into Action Group|Location is: Trinity Lutheran Church|5|19:30:00|20:30:00|111 6th St N, Princeton, IL 61356|41.3761514|-89.45049879999999
Alternative Group|Location is: Municipal Bldg|6|20:00:00|21:00:00|148 N. Main St. & Franklin Ave., Princeton, IL 61356|41.3807182|-89.46506310000001
How It Works|Location is: Municipal Bldg|7|20:00:00|21:00:00|Rt. 33 & N. Main St., Princeton, IL 61356|41.3994134|-89.4691924
west street sobriety group|Location is: home of leavitt r.|7|19:00:00|20:00:00|west street, princeton, IL 61356|41.4346329|-89.39962300000002
Blue Ridge Group|Location is: First United Methodist Church|2|14:00:00|15:00:00|104 N. Main Street, Blue Ridge, IL 61854|40.2116037|-88.5045614
Blue Ridge Group|Location is: First United Methodist Church|5|14:00:00|15:00:00|104 N. Main Street, Blue Ridge, IL 61854|40.2116037|-88.5045614
Top Of The Morning Group|Location is: EASY DOES IT CLUB|2|06:30:00|07:30:00|514 N Walnut, Springfield, IL 62702|39.8070226|-89.66311730000001
Top Of The Morning Group|Location is: EASY DOES IT CLUB|3|06:30:00|07:30:00|514 N Walnut, Springfield, IL 62702|39.8070226|-89.66311730000001
Top Of The Morning Group|Location is: EASY DOES IT CLUB|4|06:30:00|07:30:00|514 N Walnut, Springfield, IL 62702|39.8070226|-89.66311730000001
Top Of The Morning Group|Location is: EASY DOES IT CLUB|5|06:30:00|07:30:00|514 N Walnut, Springfield, IL 62702|39.8070226|-89.66311730000001
Top Of The Morning Group|Location is: EASY DOES IT CLUB|6|06:30:00|07:30:00|514 N Walnut, Springfield, IL 62702|39.8070226|-89.66311730000001
