BREAD OF LIFE|Location is: BREAD OF LIFE|3|17:00:00|18:00:00|1525 7th St., Northwest, ND 58575|47.5164889|-100.91297480000003
BEGINNINGS|Location is: At Scott Harper House|2|20:30:00|21:30:00|1938 15th St., Northwest, ND 58575|47.6325225|-100.99793549999998
THE WOMEN'S MEETING|Location is: Shelter|2|10:00:00|11:00:00|1222 11th St., Northwest, ND 58575|47.5743337|-100.84856279999997
THE WOMEN'S MEETING|Location is: Shelter|3|10:00:00|11:00:00|1222 11th St., Northwest, ND 58575|47.5743337|-100.84856279999997
THE WOMEN'S MEETING|Location is: Shelter|4|10:00:00|11:00:00|1222 11th St., Northwest, ND 58575|47.5743337|-100.84856279999997
THE WOMEN'S MEETING|Location is: Shelter|5|10:00:00|11:00:00|1222 11th St, Northwest, ND 58575|47.5743337|-100.84856279999997
THE WOMEN'S MEETING|Location is: Shelter|6|10:00:00|11:00:00|1222 11th St, Northwest, ND 58575|47.5743337|-100.84856279999997
WAKE UP SOBER|Location is: Metropolis Club|1|07:00:00|08:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
KOFFEE KLATCH|Location is: Metropolis Club|1|10:30:00|11:30:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 2|Location is: Metropolis Club|1|13:30:00|14:30:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
WOMEN_S RAP|Location is: Metropolis Club|1|15:30:00|16:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
CENTRAL|Location is: Metropolis Club|1|17:00:00|18:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 6|Location is: Metropolis Club|1|17:00:00|18:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
WAKE UP SOBER|Location is: Metropolis Club|2|07:00:00|08:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
LIVING SOBER|Location is: Metropolis Club|2|10:00:00|11:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS|Location is: Metropolis Club|2|00:00:00|01:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 2|Location is: Metropolis Club|2|14:30:00|15:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 3|Location is: Metropolis Club|2|16:00:00|17:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
WAKE UP SOBER|Location is: Metropolis Club|3|07:00:00|08:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
LIVING SOBER|Location is: Metropolis Club|3|10:00:00|11:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS|Location is: Metropolis Club|3|00:00:00|01:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 2|Location is: Metropolis Club|3|14:30:00|15:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
KEEPING IT TOGETHER|Location is: Metropolis Club|3|16:00:00|17:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
WAKE UP SOBER|Location is: Metropolis Club|4|07:00:00|08:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
LIVING SOBER|Location is: Metropolis Club|4|10:00:00|11:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS|Location is: Metropolis Club|4|00:00:00|01:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 2|Location is: Metropolis Club|4|14:30:00|15:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 3|Location is: Metropolis Club|4|16:00:00|17:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
WAKE UP SOBER|Location is: Metropolis Club|5|07:00:00|08:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
LIVING SOBER|Location is: Metropolis Club|5|10:00:00|11:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
Metropolis Club|Location is: Metropolis Club|5|00:00:00|01:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS II Club|Location is: Metropolis Club|5|14:30:00|15:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
KEEPING IT TOGETHER|Location is: Metropolis Club|5|16:00:00|17:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
WAKE UP SOBER|Location is: Metropolis Club|6|07:00:00|08:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
LIVING SOBER|Location is: Metropolis Club|6|10:00:00|11:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
Metropolis Club|Location is: Metropolis Club|6|00:00:00|01:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
Metropolis Club 2|Location is: Metropolis Club|6|14:30:00|15:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
Metropolis Club 3|Location is: Metropolis Club|6|16:00:00|17:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
WAKE UP SOBER|Location is: Metropolis Club|7|07:00:00|08:00:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
MEN?S RAP|Location is: Metropolis Club|7|10:30:00|11:30:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
MEET THE OLD TIMERS|Location is: Metropolis Club|7|00:00:00|01:00:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS|Location is: Metropolis Club|1|18:30:00|19:30:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 3|Location is: Metropolis Club|1|20:30:00|21:30:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 4|Location is: Metropolis Club|2|18:30:00|19:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
CALVARY WOMEN|Location is: Metropolis Club|2|19:30:00|20:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
WOMEN'S RAP|Location is: Metropolis Club|2|19:30:00|20:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 5|Location is: Metropolis Club|2|20:30:00|21:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 4|Location is: Metropolis Club|3|18:30:00|19:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 5|Location is: Metropolis Club|3|20:30:00|21:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
ACCEPTANCE|Location is: Metropolis Club|4|18:30:00|19:30:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
