Altrincham &#39;come & go&#39;|Location is: Unitarian Church|6|11:30:00|12:30:00|Sylvan Grove/Dunham Road, manchester, KS |39.0936111|-97.32138889999999
MATT TALBOT|Location is: FIRST METHODIST CHURCH|4|20:00:00|21:00:00|333 N MAIN, SOUTH BEND, KS 67530|38.3556594|-98.76506789999996
PORTAGE GROUP|Location is: FIRST METHODIST CHURCH|5|20:00:00|21:00:00|333 N MAIN, SOUTH BEND, KS 67530|38.3556594|-98.76506789999996
ST. E&#39;s Sobriety Society|Location is: Back of old hospital on Monroe Street.|1|20:00:00|21:00:00|2000 N. Jackson, hutchinson, KS 67502|38.0752006|-97.94199960000003
ST. E's Sobriety Society|Location is: Back of old hospital on Monroe Street.|1|11:00:00|12:00:00|2000 N. Jackson, hutchinson, KS 67502|38.0752006|-97.94199960000003
ST. E&#39;s Sobriety Society|Location is: Back of old hospital on Monroe Street.|2|20:00:00|21:00:00|2000 N. Jackson, hutchinson, KS 67502|38.0752006|-97.94199960000003
ST. E&#39;s Sobriety Society|Location is: Back of old hospital on Monroe Street.|3|20:00:00|21:00:00|2000 N. Jackson, hutchinson, KS 67502|38.0752006|-97.94199960000003
ST. E&#39;s Sobriety Society|Location is: Back of old hospital on Monroe Street.|4|20:00:00|21:00:00|2000 N. Jackson, hutchinson, KS 67502|38.0752006|-97.94199960000003
ST. E&#39;s Sobriety Society|Location is: Back of old hospital on Monroe Street.|5|20:00:00|21:00:00|2000 N. Jackson, hutchinson, KS 67502|38.0752006|-97.94199960000003
ST. E&#39;s Sobriety Society|Location is: Back of old hospital on Monroe Street.|6|20:00:00|21:00:00|2000 N. Jackson, hutchinson, KS 67502|38.0752006|-97.94199960000003
ST. E&#39;s Sobriety Society|Location is: Back of old hospital on Monroe Street.|7|20:00:00|21:00:00|2000 N. Jackson, hutchinson, KS 67502|38.0752006|-97.94199960000003
Monroe AA|Location is: Monroe Street|2|20:00:00|21:00:00|703 N. Monroe St., hutchinson, KS 67501|38.0611|-97.94100000000003
Monroe AA|Location is: Monroe Street|3|20:00:00|21:00:00|703 N. Monroe St., hutchinson, KS 67501|38.0611|-97.94100000000003
Monroe AA|Location is: Monroe Street|4|20:00:00|21:00:00|703 N. Monroe St., hutchinson, KS 67501|38.0611|-97.94100000000003
Monroe AA|Location is: Monroe Street|5|20:00:00|21:00:00|703 N. Monroe St., hutchinson, KS 67501|38.0611|-97.94100000000003
Monroe AA|Location is: Monroe Street|6|20:00:00|21:00:00|703 N. Monroe St., hutchinson, KS 67501|38.0611|-97.94100000000003
Monroe AA|Location is: Monroe Street|7|20:00:00|21:00:00|703 N. Monroe St., hutchinson, KS 67501|38.0611|-97.94100000000003
Monroe AA|Location is: Monroe Street|1|20:00:00|21:00:00|703 N. Monroe St., hutchinson, KS 67501|38.0611|-97.94100000000003
Back To Basics|Location is: Back To Basics|2|17:30:00|18:30:00|48 East 18th, King's Grace Fellowship, Junction City, KS |39.0286093|-96.83139779999999
Junction City Group|Location is: Junction City Group|3|19:00:00|20:00:00|12th & Nyssa, First Christian Church, Junction City, KS |39.0286093|-96.83139779999999
Back Roads Bunch|Location is: Back Roads Bunch|5|19:00:00|20:00:00|48 East 18th, Kings Grace Fellowship, Junction City, KS |39.0286093|-96.83139779999999
newton group|Location is: newton kansas|4|19:30:00|20:30:00|SW 14th St, Newton, KS 67114|38.0282601|-97.35577760000001
newton group|Location is: newton kansas|2|19:30:00|20:30:00|SW 14th St, Newton, KS 67114|38.0282601|-97.35577760000001
newton group|Location is: newton kansas|3|19:30:00|20:30:00|SW 14th St, Newton, KS 67114|38.0282601|-97.35577760000001
newton group|Location is: newton kansas|5|19:30:00|20:30:00|SW 14th St, Newton, KS 67114|38.0282601|-97.35577760000001
newton group|Location is: newton kansas|6|19:30:00|20:30:00|SW 14th St, Newton, KS 67114|38.0282601|-97.35577760000001
newton group|Location is: newton kansas|7|19:30:00|20:30:00|SW 14th St, Newton, KS 67114|38.0282601|-97.35577760000001
newton group|Location is: newton kansas|1|19:30:00|20:30:00|SW 14th St, Newton, KS 67114|38.0282601|-97.35577760000001
Newton Group|Location is: S.W. 14th|1|07:30:00|08:30:00|SW 14th St, Newton, KS 67114|38.0282601|-97.35577760000001
Kingman AA Group #1|Location is: Upstairs, to the left!|4|01:00:00|02:00:00|113 A Ave E, Kingman, KS 67068|37.6431261|-98.1130202
