HAPPY SUNDAY GROUP|Location is: South Shore Recovery Club|1|09:00:00|10:00:00|1199 General's Hwy., Crownsville, MD 21032|39.042041|-76.60528199999999
PAGE 30|Location is: South Shore Recovery Club|1|10:30:00|11:30:00|1199 General's Hwy., Crownsville, MD 21032|39.042041|-76.60528199999999
BY THE BOOK|Location is: South Shore Recovery Club|1|15:00:00|16:00:00|1199 General's Hwy., Crownsville, MD 21032|39.042041|-76.60528199999999
SERENITY AT SEVEN|Location is: South Shore Recovery Club|2|07:00:00|08:00:00|1199 General's Hwy., Crownsville, MD 21032|39.042041|-76.60528199999999
CONSCIOUS CONTACT GROUP|Location is: South Shore Recovery Club|2|20:00:00|21:00:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
SERENITY AT SEVEN|Location is: South Shore Recovery Club|3|07:00:00|08:00:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
AA GRAPEVINE|Location is: South Shore Recovery Club|3|17:30:00|18:30:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
BIG BOOK TEXT STUDY|Location is: South Shore Recovery Club|3|19:00:00|20:00:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
SERENITY AT SEVEN|Location is: South Shore Recovery Club|4|07:00:00|08:00:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
THE LUNCH BUNCH|Location is: South Shore Recovery Club|4|00:00:00|01:00:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
OPEN DISCUSSION MEETING|Location is: South Shore Recovery Club|4|19:00:00|20:00:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
SERENITY AT SEVEN|Location is: South Shore Recovery Club|5|07:00:00|08:00:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
AS BILL SEES IT|Location is: South Shore Recovery Club|5|17:30:00|18:30:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
THE LET GO GROUP|Location is: South Shore Recovery Club|5|19:00:00|20:00:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
SERENITY AT SEVEN|Location is: South Shore Recovery Club|6|07:00:00|08:00:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
SERENITY AT SEVEN|Location is: South Shore Recovery Club|7|07:00:00|08:00:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
GOING TO ANY LENGTHS GROUP|Location is: South Shore Recovery Club|7|20:00:00|21:00:00|1199 Generals Hwy, Crownsville, MD 21032|39.042041|-76.60528199999999
12 STEPS TO FREEDOM|Location is: United Church of Christ|5|20:30:00|21:30:00|Rte 2 @ Grand Oaks Avenue, Annapolis, MD |38.9784453|-76.49218289999999
HERALD HARBOR STEP MEETING|Location is: Herald Harbor Community Center|4|19:30:00|20:30:00|Herald Harbor Road, Crownsville, MD 21032|39.042291|-76.5894568
CHRYSALIS HOUSE|Location is: CHRYSALIS HOUSE|1|19:30:00|20:30:00|1570 Crownsville Road, Crownsville, MD 21401|39.0009278|-76.5883938
CROWNSVILLE MONDAY AFTERNOON|Location is: Chrysallis House|2|13:00:00|14:00:00|1570 Crownsville Rd., Crownsville, MD 21401|39.0009278|-76.5883938
EARLY BIRDS|Location is: Severna Park Methodist Church|2|10:00:00|11:00:00|651 Benfield Blvd., Severna Park, MD 21146|39.0886988|-76.60814690000001
EARLY BIRDS|Location is: Severna Park Methodist Church|4|10:00:00|11:00:00|651 Benfield Road, Severna Park, MD 21146|39.0832856|-76.59077150000002
EARLY BIRDS|Location is: Severna Park Methodist Church|6|10:00:00|11:00:00|651 Benfield Road, Severna Park, MD 21146|39.0832856|-76.59077150000002
CROFTON OPEN GROUP|Location is: Prince of Peace Presbyterian Church|6|20:00:00|21:00:00|Ardsley Place & Crofton Parkway, Crofton, MD 21114|39.0087416|-76.69529269999998
